연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치,설치일자,적재하중(㎏),정원(인),정격속도(m/min)
264,3,매봉,E/L,내부#2,0033-325,B2(승)~B1(대),하행6-1,2004-04-29,1000,15,45
265,3,매봉,E/L,외부#1,0035-269,B1(대)~지상,1번출구측,2004-07-30,900,15,45
266,3,대치,E/L,내부#1,0033-207,B4(승)~B2(대)~B1(대),섬식(상)1-1,2004-05-12,1000,15,45
267,3,대치,E/L,외부#1,0099-954,B1(대)~지상,7번출구측,2005-03-16,1000,15,45
268,3,학여울,E/L,내부#1,0033-368,B5(승)~B4(대),상행5-4,2004-04-29,1000,15,45
269,3,학여울,E/L,내부#2,0033-369,B5(승)~B4(대),하행6-1,2004-04-29,1000,15,45
270,3,학여울,E/L,외부#1,0105-142,B4(대)~B2(대)~B1(대)~지상,1번출구측,2018-11-19,1000,15,60
271,3,대청,E/L,내부#1,0035-268,B3(승)~B2(대),상행4-4,2004-06-10,1000,15,45
272,3,대청,E/L,내부#2,0035-267,B3(승)~B2(대),하행7-1,2004-06-10,1000,15,45
273,3,대청,E/L,외부#1,0035-266,B2(대)~지상,8번출구측,2004-06-10,1000,15,45
274,3,일원,E/L,내부#1,0035-326,B3(승)~B2(대),상행6-3,2004-06-09,1000,15,45
275,3,일원,E/L,내부#2,0035-327,B3(승)~B2(대),하행5-2,2004-06-09,1000,15,45
276,3,일원,E/L,외부#2,0125-974,B2(대)~지상,1번출구측,2017-12-12,1150,17,60
277,3,일원,E/L,외부#3,0125-975,B2(대)~지상,1번출구측,2017-12-12,1150,17,60
278,3,수서,E/L,내부#1,0033-205,B2(승)~B1(대),상행8-3,2003-06-30,600,9,60
279,3,수서,E/L,내부#2,0033-206,B2(승)~B1(대),하행3-2,2003-06-30,1000,15,60
280,3,수서,E/L,외부#1,0033-203,B1(대)~지상,1번출구측,2003-05-12,1000,15,60
281,3,수서,E/L,외부#2,0115-093,B1(대)~지상,5번출구,2016-12-16,1150,17,60
282,3,가락시장,E/L,내부#1,0100-025,B4(승)~B2(대),상행8-2,2010-02-18,1000,15,60
283,3,가락시장,E/L,내부#2,0100-026,B4(승)~B2(대),하행3-2,2010-02-18,1000,15,60
284,3,가락시장,E/L,외부#1,0100-027,B2(대)~지상,7번출구측,2010-02-18,1000,15,60
285,3,경찰병원,E/L,내부#1,0099-889,B3(승)~B1(대),상행4-2,2010-02-18,1000,15,60
286,3,경찰병원,E/L,내부#2,0099-890,B3(승)~B1(대),하행7-3,2010-02-18,1000,15,60
287,3,경찰병원,E/L,외부#1,0099-887,B1(대)~지상,1번출구측,2010-02-18,1000,15,60
288,3,경찰병원,E/L,외부#2,0099-888,B1(대)~지상,3번출구측,2018-12-07,1000,15,60
289,3,오금,E/L,내부#1,0099-955,B4(승)~B1(대),상행5-1,2010-02-18,1000,15,60
290,3,오금,E/L,내부#2,0099-956,B4(승)~B1(대),하행6-4,2010-02-18,1000,15,60
291,3,오금,E/L,외부#1,0099-957,B1(대)~지상,1번출구측,2010-02-18,1000,15,60
292,4,당고개,E/L,내부#1,0085-252,F2(대)~F3(승),상행6-1,2005-04-02,1000,15,45
293,4,당고개,E/L,내부#2,0085-253,F2(대)~F3(승),하행5-4,2005-04-02,1000,15,45
294,4,당고개,E/L,외부#1,0085-251,지상~F2(대),1-4번출구사이,2005-04-02,1000,15,45
295,4,상계,E/L,외부#1,0085-254,F1(지상)~F2(대),1-2번출구측,2005-07-25,1000,15,45
296,4,노원,E/L,내부#1,0085-261,F2(대)~F3(승),상행8-4,2010-03-12,1000,15,45
297,4,노원,E/L,내부#2,0085-262,F2(대)~F3(승),하행3-1,2010-03-12,1000,15,45
298,4,노원,E/L,외부#1,0095-391,지상~F2(대),2번출구측,2002-09-12,1000,15,45
299,4,노원,E/L,외부#2,0086-473,지상~F2(대),9번출구측,2002-09-12,1000,15,45
300,4,창동,E/L,내부#1,0125-527,F2(대)~F3(승),상행(당고개방향)2-4,2017-10-12,,15,
301,4,창동,E/L,내부#2,0125-524,F2(대)~F3(승),상행(당고개방향)8-2/8-3,2017-10-12,,15,
302,4,창동,E/L,내부#3,0125-525,F2(대)~F3(승),하행(남태령방향)8-4/9-1,2017-10-12,1000,15,60
303,4,창동,E/L,내부#4,0125-526,F2(대)~F3(승),하행(남태령방향)3-2,2017-10-12,1000,15,45
304,4,창동,E/L,외부#1,0028-004,지상~F2(대),1번출구측,2002-09-12,1000,15,60
305,4,창동,E/L,외부#2,0028-005,지상~F2(대),2번출구측,2002-09-12,1000,15,45
306,4,쌍문,E/L,내부#1,0085-219,B2(승)~B1(대),상행8-4,2004-04-27,1000,15,45
307,4,쌍문,E/L,내부#2,0085-220,B2(승)~B1(대),하행3-1,2004-04-27,1000,15,45
308,4,쌍문,E/L,외부#1,0028-002,B1(대)~지상,1번출구측,2004-08-27,1000,15,45
309,4,수유,E/L,내부#1,0085-196,B2(승)~B1(대),상행7-1,2004-04-27,750,15,45
310,4,수유,E/L,내부#2,0085-197,B2(승)~B1(대),하행4-4,2004-04-27,750,15,45
311,4,수유,E/L,외부#1,0019-375,B1(대)~지상,1-2번출구사이,2004-11-03,1000,15,45
312,4,미아,E/L,내부#1,0085-194,B2(승)~B1(대),상행8-2,2004-05-07,900,11,45
313,4,미아,E/L,내부#2,0085-195,B2(승)~B1(대),하행3-4,2004-05-07,900,11,45
314,4,미아,E/L,외부#1,0019-374,B1(대)~지상,1-2번출구사이,2004-11-06,1000,15,45
315,4,미아사거리,E/L,내부#1,0019-373,B2(승)~B1(대),상행3-1,2004-12-23,900,13,45
316,4,미아사거리,E/L,내부#2,0019-372,B2(승)~B1(대),하행8-3,2004-12-23,900,13,45
317,4,길음,E/L,내부#1,0055-620,B2(승)~B1(대),섬식(상)6-1,2005-03-07,1000,15,45
318,4,길음,E/L,외부#1,0055-621,B1(대)~지상,5번출구측,2005-02-15,1000,15,45
319,4,길음,E/L,외부#2,0028-290,B1(대)~지상,3-4번출구사이,2012-05-31,1000,15,45
320,4,성신여대입구,E/L,내부#1,0055-622,B2(승)~B1(대),상행8-2,2005-01-13,750,11,45
321,4,성신여대입구,E/L,내부#2,0055-623,B2(승)~B1(대),하행3-4,2005-01-13,750,11,45
322,4,성신여대입구,E/L,외부#1,0056-491,B1(대)~지상,2번출구측,2005-04-08,1000,15,45
323,4,성신여대입구,E/L,외부#2,0028-003,B1(대)~지상,3번출구측,2009-01-14,750,11,60
324,4,한성대입구,E/L,내부#1,0055-618,B2(승)~B1(대),섬식(상)6-1,2005-02-25,1000,15,45
325,4,한성대입구,E/L,외부#1,0055-619,B1(대)~지상,3-4번출구사이,2005-02-25,1000,15,45
326,4,한성대입구,E/L,외부#2,0095-380,B1(대)~지상,5번출구측,2014-07-29,1000,15,60
327,4,혜화,E/L,내부#1,0000-911,B2(승)~B1(대),상행7-4,2016-11-29,750,11,60
328,4,혜화,E/L,내부#2,0000-910,B2(승)~B1(대),하행3-4,2016-11-02,750,11,60
329,4,혜화,E/L,외부#1,0000-908,B1(대)~지상,2번출구측,2000-11-01,750,11,45
330,4,혜화,E/L,외부#2,0000-909,B1(대)~지상,3번출구측,2000-11-01,1000,15,45
331,4,동대문(4),E/L,내부#1,0000-523,B4(승)~B1(대),섬식(상)6-3,2003-12-23,1000,15,60
332,4,동대문(4),E/L,외부#1,0000-524,B1(대)~지상,9번출구측,2010-03-15,1000,15,45
333,4,동대문역사문화공원(4),E/L,내부#1,0039-975,B3(승)~B1(대),섬식(상)4-4,2002-10-09,900,13,60
334,4(기타),동대문별관,E/L,1,0038-528,B3~11,동대문별관,2007-05-25,1000,14,90
335,4(기타),동대문별관,E/L,2,0038-529,B4~11,동대문별관,2007-05-25,1000,15,90
336,4(기타),동대문별관,E/L,3,0038-530,B4~11,동대문별관,2007-07-13,680,15,90
337,4,충무로(4),E/L,내부#1,0003-715,B3(승)~B1(대),상행8-1,2004-04-26,1000,15,45
338,4,충무로(4),E/L,내부#2,0003-714,B3(승)~B1(대),하행3-3,2004-04-26,1000,15,45
339,4,충무로(4),E/L,외부#1,0040-481,B1(대)~지상,7번출구,2004-07-01,600,9,45
340,4,명동,E/L,외부#1,0111-744,B1(대)~지상,1번출구,2015-11-09,1000,15,60
341,4,회현,E/L,내부#1,0003-716,B4(승)~B2(대)~B1(대),섬식(상)10-1,2005-04-09,1000,15,60
342,4,회현,E/L,외부#1,0120-838,B1(대)~지상,지상도로중앙,2017-05-20,1000,15,45
343,4,서울(4),E/L,내부#1,0003-773,B2(승)~B1(대),섬식(상)9-1,2004-03-02,1000,15,45
344,4,서울(4),E/L,외부#1,0040-482,B1(대)~지상,12번출구,2015-05-29,900,13,60
345,4,숙대입구,E/L,내부#1,0003-771,B2(승)~B1(대),상행8-1,2004-04-27,1000,15,45
346,4,숙대입구,E/L,내부#2,0003-772,B2(승)~B1(대),하행3-3,2004-04-27,1000,15,45
347,4,숙대입구,E/L,외부#1,0102-480,B1(대)~지상,10번출구,2005-02-04,1000,15,45
348,4,삼각지,E/L,내부#1,0051-245,B2(승)~B1(대),상행4-3,2015-08-17,1000,15,60
349,4,삼각지,E/L,내부#2,0051-246,B2(승)~B1(대),하행7-2,2015-10-07,1000,15,60
350,4,삼각지,E/L,외부#1,0073-386,B1(대)~지상,1-2번출구사이,2014-07-16,1000,15,60
351,4,삼각지,E/L,외부#2,0073-707,B1(대)~지상,5-6번출구사이,2014-09-05,1000,15,60
352,4,삼각지,E/L,외부#3,0136-819,B1(대)~지상,3번출구,2019-04-10,1000,15,60
353,4,신용산,E/L,내부#1,0102-379,B1(승)~B2(대),상행8-2,2005-03-21,1000,15,45
354,4,신용산,E/L,내부#2,0102-380,B1(승)~B2(대),하행3-2,2005-03-21,1000,15,45
355,4,신용산,E/L,외부#1,0127-849,B2(승)~지상,1번출구,2017-10-25,1350,20,60
356,4,신용산,E/L,외부#2,0120-390,B1(대)~지상,4번출구,2017-03-29,1000,15,60
357,4,이촌,E/L,내부#1,0003-769,B2(승)~B1(대),상행8-1,2004-04-28,1000,15,45
358,4,이촌,E/L,내부#2,0003-770,B2(승)~B1(대),하행3-3,2004-04-28,1000,15,45
359,4,이촌,E/L,외부#1,0102-381,B1(승)~지상,1번출구측,2009-01-14,1000,15,60
360,4,이촌,E/L,외부#2,0084-010,B1(승)~지상,2번출구측,2013-01-09,1150,17,60
361,4,동작,E/L,내부#1,0097-625,F2(대)~F3(승),상행7-4,2004-07-06,750,11,45
362,4,동작,E/L,내부#2,0031-516,F1(대)~F2(대)~F3(승),하행4-4,2010-03-19,750,11,45
363,4,총신대입구,E/L,내부#1,0031-512,B2(승)~B1(대),상행7-3,2015-06-02,1000,15,45
364,4,총신대입구,E/L,내부#2,0031-513,B2(승)~B1(대),하행8-3,2015-08-07,1000,15,45
365,4,총신대입구,E/L,외부#1,0110-215,B1(대)~지상,1번출구측,2014-08-15,1000,15,60
366,4,총신대입구,E/L,외부#2,0031-515,B1(대)~지상,14번출구측,2015-06-02,1000,15,60
367,4,사당(4),E/L,내부#1,0097-112,B3(승)~B2(대)~B1(대),섬식(상)09-2,2003-05-12,900,13,60
368,4,사당(4),E/L,외부#1,0031-517,B1(대)~지상,9-10번출구사이,2004-07-30,1000,15,45
369,4(기타),사당별관,E/L,1,0099-378,B1(승)~F6(대),사당별관,2005-10-20,1600,24,90
370,4(기타),사당별관,E/L,2,0099-379,B1(승)~F7(대),사당별관,2005-09-28,1600,24,90
371,4(기타),사당별관,E/L,3,0099-380,B1(승)~F7(대),사당별관,2005-10-20,1600,24,90
372,4,남태령,E/L,내부#1,0099-926,B3(대)~B2(대),섬식(상)3-3,2005-12-15,750,11,30
373,4,남태령,E/L,내부#2,0099-927,B2(대)~B1(대),1번출구측,2005-12-15,1000,15,45
374,4,남태령,E/L,외부#1,0099-928,B1(대)~지상,2번출구측,2005-12-15,1000,15,45
375,5,방화,E/L,1,0097-206,B1-B2,내부,2004-04-03,750,11,45
376,5,방화,E/L,2,0097-207,B1-B2,내부,2004-04-03,750,11,45
377,5,방화,E/L,3,0031-396,F1-B1,외부,2004-12-28,1000,15,45
378,5,개화산,E/L,1,0059-336,F1-B2,외부,2016-01-13,1600,24,60
379,5,개화산,E/L,2,0059-337,F1-B2,외부,2016-01-15,1000,15,60
380,5,김포공항,E/L,1,0091-364,B2-B3,내부,2012-11-19,1000,15,45
381,5,김포공항,E/L,2,0091-365,B2-B3,내부,2012-11-19,1000,15,45
382,5,김포공항,E/L,3,0059-576,F1-B1,외부,2011-10-26,,24,45
383,5,송정,E/L,1,0097-632,B2-B3,내부,2004-09-23,1000,15,45
384,5,송정,E/L,2,0097-633,B2-B3,내부,2004-09-23,1000,15,45
385,5,송정,E/L,3,0097-634,F1-B2,외부,2005-04-11,1000,15,60
386,5,송정,E/L,4,0097-635,F1-B1,외부,2011-03-15,1000,15,60
387,5,마곡,E/L,1,0059-348,B1-B2,내부,2009-11-20,1005,15,45
388,5,마곡,E/L,2,0059-349,B1-B2,내부,2009-11-20,1005,15,45
389,5,마곡,E/L,3,0059-350,F1-B1,외부,2009-11-20,1005,15,45
390,5,마곡,E/L,4,0115-890,F1-B1,외부,2016-01-25,1600,24,60
391,5,마곡,E/L,5,0144-531,F1-B1,외부,2020-09-17,1600,21,45
392,5,마곡,E/L,6,0144-546,F1-B1,외부,2020-09-25,1600,21,45
393,5,발산,E/L,1,0097-201,B1-B2,내부,2004-04-03,1000,15,45
394,5,발산,E/L,2,0097-202,B1-B2,내부,2004-04-03,1000,15,45
395,5,발산,E/L,3,0097-203,F1-B1,외부,2004-12-03,1000,15,45
396,5,우장산,E/L,1,0059-338,B1-B2,내부,2004-11-16,1000,15,45
397,5,우장산,E/L,2,0059-339,B1-B2,내부,2004-11-16,1000,15,45
398,5,우장산,E/L,3,0059-340,F1-B1,외부,2008-02-27,1000,15,60
399,5,화곡,E/L,1,0073-248,B1-B2,내부,2004-09-23,750,11,45
400,5,화곡,E/L,2,0031-395,F1-B1,외부,2005-08-04,1000,15,60
401,5,까치산,E/L,1,0061-703,B1-B4,내부,2012-07-17,1000,15,45
402,5,신정,E/L,1,0097-211,B2-B3,내부,2004-12-03,750,11,45
403,5,신정,E/L,2,0097-212,B2-B3,내부,2004-12-03,750,11,45
404,5,목동,E/L,1,0059-308,B1-B2,내부,2004-12-24,1000,15,45
405,5,목동,E/L,2,0059-309,B1-B2,내부,2004-12-24,1000,15,45
406,5,목동,E/L,3,0031-394,F1-B1,외부,2005-08-04,1000,15,45
407,5,오목교,E/L,1,0059-198,B1-B3,내부,2011-11-15,1000,15,45
408,5,오목교,E/L,2,0058-164,B1-B3,내부,2011-09-09,1000,15,45
409,5,오목교,E/L,3,0059-199,F1-B1,외부,2009-12-28,1005,15,45
410,5,양평,E/L,1,0059-371,B1-B5,내부,2004-12-28,1000,15,45
411,5,양평,E/L,2,0059-372,B4-B5,내부,2004-12-28,1000,15,45
412,5,양평,E/L,3,0097-663,F1-B1,외부,2005-05-19,1000,15,60
413,5,영등포구청,E/L,1,0097-661,F1-B5,외부,2015-12-26,1000,15,60
414,5,영등포구청,E/L,2,0097-662,B4-B5,내부,2003-06-11,1000,15,45
415,5,영등포구청,E/L,3,0109-790,B4-B5,내부,2015-11-24,1000,15,45
416,5,영등포시장,E/L,1,0059-374,B5-B6,내부,2005-04-28,1000,15,45
417,5,영등포시장,E/L,2,0059-373,B1-B6,내부,2005-04-28,1000,15,60
418,5,영등포시장,E/L,3,0148-101,B1-F1,내부,2020-10-27,1600,21,60
419,5,신길,E/L,1,0031-300,B3-B4,내부,2002-08-01,1000,15,60
420,5,신길,E/L,2,0031-312,B3-B4,내부,2002-08-01,1000,15,60
421,5,신길,E/L,3,0031-311,F1-B2,외부,2002-11-20,1000,15,60
422,5,신길,E/L,4,0109-789,B3-B4,내부,2015-11-24,1000,15,45
423,5,신길,E/L,5,0140-313,B3-B4,내부,2020-02-05,,,45
424,5,신길,E/L,6,0143-173,B1-B3,내부,2020-02-28,,,30
425,5,여의도,E/L,1,0058-165,B1-B4,내부,2011-09-09,1000,15,45
426,5,여의도,E/L,2,0021-285,B1-B4,내부,2012-04-06,1000,15,45
427,5,여의나루,E/L,1,0097-671,B1-B5,내부,2005-02-03,1000,15,60
428,5,여의나루,E/L,2,0097-673,BM1-B1,내부,2006-05-19,750,11,30
429,5,여의나루,E/L,3,0097-672,F1-BM1,외부,2006-05-19,1000,15,45
430,5,마포,E/L,1,0040-716,B1-B5,내부,2004-09-30,1000,15,45
431,5,마포,E/L,2,0040-717,F1-B1,외부,2005-05-09,1000,15,60
432,5,공덕,E/L,1,0102-136,B1-B3,내부,2016-01-19,1000,15,60
433,5,공덕,E/L,2,0102-137,F1-B1,외부,2008-12-01,1000,15,60
434,5,애오개,E/L,1,0102-183,B3-B4,내부,2005-04-28,1000,15,45
435,5,애오개,E/L,2,0102-184,B3-B4,내부,2005-04-28,1000,15,45
436,5,애오개,E/L,3,0102-185,B1-B3,내부,2005-05-19,1000,15,45
437,5,애오개,E/L,4,0040-267,F1-B1,외부,2005-05-19,1000,15,45
438,5,애오개,E/L,5,0051-370,F1-B1,외부,2012-08-16,1600,24,45
439,5,충정로,E/L,1,0040-426,B1-B5,내부,2002-11-18,1000,15,60
440,5,충정로,E/L,2,0102-186,F1-B1,외부,2004-01-29,1000,15,45
441,5,서대문,E/L,1,0000-441,B1-B4,내부,2005-02-03,1000,15,45
442,5,서대문,E/L,2,0000-442,F1-B1,외부,2005-04-11,1000,15,60
443,5,서대문,E/L,3,0000-443,F1-BM1,외부,2011-01-31,1000,15,60
444,5,광화문,E/L,1,0000-732,F1-B2,외부,2011-03-29,1000,15,45
445,5,광화문,E/L,2,0139-079,B2-B4,내부,2019-08-29,1000,15,45
446,5,종로3가,E/L,1,0114-148,B1-B4,내부,2016-01-22,1000,15,60
447,5,을지로4가,E/L,1,0113-923,B1-B5,내부,2015-11-24,1000,15,45
448,5,동대문역사문화공원,E/L,1,0103-496,B1-B4,내부,2010-12-29,1000,15,45
449,5,동대문역사문화공원,E/L,2,0113-922,B1-B5,내부,2015-11-24,1000,15,45
450,5,신금호,E/L,1,0102-334,B2-B8,내부,2016-01-18,1600,24,60
451,5,신금호,E/L,2,0102-335,B2-B8,내부,2016-01-18,1600,24,60
